商品名稱,圖片網址,價錢
愛麵族 (選)刀削麵—紅燒牛肉 | 220g #4710670301609,https://images.deliveryhero.io/image/nv/Taiwan/ca6fc-0598648.jpg?height=140,$ 38
愛恨蔥蔥麵 | 220 g #4710577570368,https://images.deliveryhero.io/image/nv/Taiwan/ci5qb-0156482-1219.jpg?height=140,$ 49
愛恨椒芝麵 | 218 g #4711229450076,https://images.deliveryhero.io/image/nv/Taiwan/ci5qb-0156464-1219.jpg?height=140,$ 49
鉅坵紫菜餅 | 100 g #4716062124412,https://images.deliveryhero.io/image/nv/Taiwan/ci5qb-0305128-1017.jpg?height=140,$ 219
關東煮本舖 王子麵(滷味用) | 50g #0000020633288,https://images.deliveryhero.io/image/nv/Taiwan/ca6fc-0644760.jpg?height=140,$ 10
履歷台灣乾香菇 | 60 g #4715243534422,https://images.deliveryhero.io/image/nv/Taiwan/ci5qb-0302166-1017.jpg?height=140,$ 265
馬祖特選海帶 | 150 g #4716062124467,https://images.deliveryhero.io/image/nv/Taiwan/ci5qb-0305132-1017.jpg?height=140,$ 169
白木耳乾 | 100 g #4714425023693,https://images.deliveryhero.io/image/nv/Taiwan/ci5qb-0302148-1017.jpg?height=140,$ 179
FMC 池上鮮米(一等米) 2kg #4713696414704,https://images.deliveryhero.io/image/nv/Taiwan/ca6fc-4770220.jpg?height=140,$ 240
大甲佳旭(超)大甲乾麵(麻醬) 504g #4713809931364,https://images.deliveryhero.io/image/nv/Taiwan/ca6fc-0748194.jpg?height=140,$ 149
金車漢寶 海鮮湯麵 66g #4710085241415,https://images.deliveryhero.io/image/nv/Taiwan/ca6fc-0699997.png?height=140,$ 35
統一 蔥燒牛肉麵(包) | 90 g #4710088410306,https://images.deliveryhero.io/image/nv/Taiwan/ci5qb-4350133-1130.jpg?height=140,$ 18
雙響泡 鹽味豚骨湯麵 | 115 g #4710110237390,https://images.deliveryhero.io/image/nv/Taiwan/ci5qb-0089633-1130.jpg?height=140,$ 35
隨緣 紅燒嫩菇湯麵 96g #4710110238274,https://images.deliveryhero.io/image/nv/Taiwan/ca6fc-0664641.png?height=140,$ 39
味味一品 極品紅燒牛肉麵 | 178 g #4710110231619,https://images.deliveryhero.io/image/nv/Taiwan/ci5qb-4332836-1130.jpg?height=140,$ 59
雙響泡 日式雞白湯麵 | 107 g #4710110235327,https://images.deliveryhero.io/image/nv/Taiwan/ci5qb-4310399-1130.jpg?height=140,$ 35
43 | 滿漢大餐辣味蔥燒牛肉麵 | 192.8 g #4710088412201,https://images.deliveryhero.io/image/fd-tw/Grocery/ci5qb-163.jpg?height=140,$ 59
農心 辛炒麵 | 131 g #8801043061674,https://images.deliveryhero.io/image/nv/Taiwan/ci5qb-0087772-1130.jpg?height=140,$ 75
